UID          PID    PPID  C STIME TTY          TIME CMD
root          37       2  0 22:33 ?        00:00:00 [kworker/3:0H-events_highpri]
root          39       2  0 22:33 ?        00:00:00 [kworker/u64:1-events_unbound]
root          42       2  0 22:33 ?        00:00:00 [kdevtmpfs]
root          43       2  0 22:33 ?        00:00:00 [inet_frag_wq]
root          44       2  0 22:33 ?        00:00:00 [kauditd]
root          46       2  0 22:33 ?        00:00:00 [khungtaskd]
root          47       2  0 22:33 ?        00:00:00 [oom_reaper]
root          48       2  0 22:33 ?        00:00:00 [writeback]
root          49       2  0 22:33 ?        00:00:00 [kcompactd0]
root          50       2  0 22:33 ?        00:00:00 [ksmd]
root          53       2  0 22:33 ?        00:00:00 [khugepaged]
root          54       2  0 22:33 ?        00:00:00 [kintegrityd]
root          55       2  0 22:33 ?        00:00:00 [kblockd]
root          56       2  0 22:33 ?        00:00:00 [blkcg_punt_bio]
root          57       2  0 22:33 ?        00:00:00 [tpm_dev_wq]
root          58       2  0 22:33 ?        00:00:00 [edac-poller]
root          59       2  0 22:33 ?        00:00:00 [devfreq_wq]
root          61       2  0 22:33 ?        00:00:00 [kworker/1:1H-kblockd]
root          62       2  0 22:33 ?        00:00:00 [kswapd0]
root          69       2  0 22:33 ?        00:00:00 [kthrotld]
root          71       2  0 22:33 ?        00:00:00 [irq/24-pciehp]
root          72       2  0 22:33 ?        00:00:00 [irq/25-pciehp]
root          73       2  0 22:33 ?        00:00:00 [irq/26-pciehp]
root          74       2  0 22:33 ?        00:00:00 [irq/27-pciehp]
root          75       2  0 22:33 ?        00:00:00 [irq/28-pciehp]
root          76       2  0 22:33 ?        00:00:00 [irq/29-pciehp]
root          77       2  0 22:33 ?        00:00:00 [irq/30-pciehp]
root          78       2  0 22:33 ?        00:00:00 [irq/31-pciehp]
root          79       2  0 22:33 ?        00:00:00 [irq/32-pciehp]
root          80       2  0 22:33 ?        00:00:00 [irq/33-pciehp]
root          81       2  0 22:33 ?        00:00:00 [irq/34-pciehp]
root          82       2  0 22:33 ?        00:00:00 [irq/35-pciehp]
root          83       2  0 22:33 ?        00:00:00 [irq/36-pciehp]
root          84       2  0 22:33 ?        00:00:00 [irq/37-pciehp]
root          85       2  0 22:33 ?        00:00:00 [irq/38-pciehp]
root          86       2  0 22:33 ?        00:00:00 [irq/39-pciehp]
root          87       2  0 22:33 ?        00:00:00 [irq/40-pciehp]
root          88       2  0 22:33 ?        00:00:00 [irq/41-pciehp]
root          89       2  0 22:33 ?        00:00:00 [irq/42-pciehp]
root          90       2  0 22:33 ?        00:00:00 [irq/43-pciehp]
root          91       2  0 22:33 ?        00:00:00 [irq/44-pciehp]
root          92       2  0 22:33 ?        00:00:00 [irq/45-pciehp]
root          93       2  0 22:33 ?        00:00:00 [irq/46-pciehp]
root          94       2  0 22:33 ?        00:00:00 [irq/47-pciehp]
root          95       2  0 22:33 ?        00:00:00 [irq/48-pciehp]
root          96       2  0 22:33 ?        00:00:00 [irq/49-pciehp]
root          97       2  0 22:33 ?        00:00:00 [irq/50-pciehp]
root          98       2  0 22:33 ?        00:00:00 [irq/51-pciehp]
root          99       2  0 22:33 ?        00:00:00 [irq/52-pciehp]
root         100       2  0 22:33 ?        00:00:00 [irq/53-pciehp]
root         101       2  0 22:33 ?        00:00:00 [irq/54-pciehp]
root         102       2  0 22:33 ?        00:00:00 [irq/55-pciehp]
root         103       2  0 22:33 ?        00:00:00 [acpi_thermal_pm]
root         104       2  0 22:33 ?        00:00:00 [xenbus_probe]
root         105       2  0 22:33 ?        00:00:00 [mld]
root         106       2  0 22:33 ?        00:00:00 [kworker/0:1H-kblockd]
root         107       2  0 22:33 ?        00:00:00 [ipv6_addrconf]
root         112       2  0 22:33 ?        00:00:00 [kstrp]
root         117       2  0 22:33 ?        00:00:00 [zswap-shrink]
root         118       2  0 22:33 ?        00:00:00 [kworker/u65:0-hci0]
root         175       2  0 22:33 ?        00:00:00 [kworker/3:1H-kblockd]
root         184       2  0 22:33 ?        00:00:04 [kworker/2:2-pm]
root         185       2  0 22:33 ?        00:00:00 [kworker/2:1H-kblockd]
root         186       2  0 22:33 ?        00:00:00 [cryptd]
root         187       2  0 22:33 ?        00:00:00 [ata_sff]
root         188       2  0 22:33 ?        00:00:00 [kworker/3:2-events]
root         191       2  0 22:33 ?        00:00:00 [mpt_poll_0]
root         192       2  0 22:33 ?        00:00:00 [mpt/0]
root         194       2  0 22:33 ?        00:00:00 [scsi_eh_0]
root         195       2  0 22:33 ?        00:00:00 [scsi_tmf_0]
root         196       2  0 22:33 ?        00:00:00 [scsi_eh_1]
root         197       2  0 22:33 ?        00:00:00 [scsi_tmf_1]
root         203       2  0 22:33 ?        00:00:00 [irq/16-vmwgfx]
root         206       2  0 22:33 ?        00:00:00 [ttm]
root         247       2  0 22:33 ?        00:00:00 [scsi_eh_2]
root         248       2  0 22:33 ?        00:00:00 [scsi_tmf_2]
root         286       2  0 22:33 ?        00:00:00 [jbd2/sda1-8]
root         287       2  0 22:33 ?        00:00:00 [ext4-rsv-conver]
root         343       1  0 22:33 ?        00:00:00 /lib/systemd/systemd-journald
root         360       2  0 22:33 ?        00:00:00 [kworker/1:3-events]
root         363       1  0 22:33 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         370       1  0 22:33 ?        00:00:00 /lib/systemd/systemd-udevd
root         371       2  0 22:33 ?        00:00:00 [kworker/0:3-events]
root         386       2  0 22:33 ?        00:00:00 [psimon]
root         422       2  0 22:33 ?        00:00:00 [psimon]
root         490       1  0 22:33 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
root         495       2  0 22:33 ?        00:00:00 [kworker/1:2H]
root         498       1  0 22:33 ?        00:00:03 /usr/bin/vmtoolsd
message+     514       1  0 22:33 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         515       2  0 22:33 ?        00:00:00 [rpciod]
root         517       2  0 22:33 ?        00:00:00 [xprtiod]
polkitd      541       1  0 22:33 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         580       1  0 22:33 ?        00:00:00 /lib/systemd/systemd-logind
root         596       2  0 22:33 ?        00:00:00 [irq/56-vmw_vmci]
root         597       2  0 22:33 ?        00:00:00 [irq/57-vmw_vmci]
root         609       1  0 22:33 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         616       2  0 22:33 ?        00:00:00 [psimon]
root         617       1  0 22:33 ?        00:00:00 /usr/sbin/cron -f
root         728       1  0 22:33 ?        00:00:00 /usr/sbin/ModemManager
root         742       2  0 22:33 ?        00:00:00 [kworker/u64:4-flush-8:0]
root         753       1  0 22:33 ?        00:00:00 /usr/sbin/lightdm
root         803     753  1 22:33 tty7     00:00:17 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         806       1  0 22:33 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         812       2  0 22:33 ?        00:00:00 [kworker/u65:1-hci0]
root        1031       2  0 22:33 ?        00:00:00 [psimon]
rtkit       1061       1  0 22:33 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1140     753  0 22:33 ?        00:00:00 lightdm --session-child 16 25
kali        1147       1  0 22:33 ?        00:00:00 /lib/systemd/systemd --user
kali        1148    1147  0 22:33 ?        00:00:00 (sd-pam)
root        1162       2  0 22:33 ?        00:00:00 [psimon]
kali        1165    1147  0 22:33 ?        00:00:00 /usr/bin/pipewire
kali        1166    1147  0 22:33 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
kali        1167    1147  0 22:33 ?        00:00:00 /usr/bin/wireplumber
kali        1169    1147  0 22:33 ?        00:00:00 /usr/bin/pipewire-pulse
kali        1170    1147  0 22:33 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        1171    1147  0 22:33 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        1195    1140  0 22:33 ?        00:00:00 xfce4-session
kali        1239    1195  0 22:33 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kali        1250    1147  0 22:33 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kali        1257    1250  0 22:33 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kali        1269    1147  0 22:33 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1281    1147  0 22:33 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali        1283    1195  0 22:33 ?        00:00:05 xfwm4
kali        1287    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfsd
kali        1293    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1308    1195  0 22:33 ?        00:00:00 xfsettingsd
root        1312       1  0 22:33 ?        00:00:00 /usr/libexec/upowerd
kali        1318    1195  0 22:33 ?        00:00:01 xfce4-panel
kali        1323    1195  0 22:33 ?        00:00:00 Thunar --daemon
kali        1334    1195  0 22:33 ?        00:00:01 xfdesktop
kali        1338    1318  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali        1342    1195  0 22:33 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1343    1195  0 22:33 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kali        1348    1195  0 22:33 ?        00:00:00 xfce4-power-manager
kali        1349    1195  0 22:33 ?        00:00:00 xiccd
kali        1352       1  0 22:33 ?        00:00:03 /usr/bin/vmtoolsd -n vmusr --blockFd 3
kali        1357    1195  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1359       1  0 22:33 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1361    1195  0 22:33 ?        00:00:00 nm-applet
kali        1374    1195  0 22:33 ?        00:00:00 light-locker
kali        1382    1195  0 22:33 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
colord      1385       1  0 22:33 ?        00:00:00 /usr/libexec/colord
kali        1426    1147  0 22:33 ?        00:00:00 /usr/libexec/dconf-service
kali        1491    1318  0 22:33 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
kali        1493    1318  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali        1500    1318  0 22:33 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
kali        1504    1318  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali        1512    1318  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali        1517    1318  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali        1524    1318  0 22:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
kali        1614    1147  0 22:33 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        1626    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1630       1  0 22:33 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1639    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1644    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1649    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1654    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1669    1287  0 22:33 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1675    1147  0 22:33 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1738       1  0 22:33 ?        00:00:03 /usr/bin/qterminal
kali        1741    1738  0 22:33 pts/0    00:00:04 /usr/bin/zsh
root        5277       2  0 22:40 ?        00:00:00 [kworker/u64:0-events_unbound]
kali       12018    1147  0 22:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       12208       2  0 22:54 ?        00:00:00 [kworker/3:1-ata_sff]
root       12225       2  0 22:54 ?        00:00:00 [kworker/2:1-events_freezable]
root       14923       2  0 22:59 ?        00:00:00 [kworker/2:0-events]
root       14924       2  0 22:59 ?        00:00:00 [kworker/3:0-ata_sff]
kali       15816    1741 12 23:01 pts/0    00:00:00 ps -ef
